sector_code,sector_name_english,sector_name_indonesia
A-AFFH,"Agriculture, Forestry, and Fishing","Pertanian, Kehutanan dan Perikanan"
B-MNGQ,Mining and Quarrying,Pertambangan dan Penggalian
C-MFCT,Manufacturing,Industri Pengolahan
D-ECGS,Electricity and Gas,Pengadaan Listrik dan Gas
E-WSRA,"Water supply, Sewerage, Waste Management, and Remediation Activities","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang"
F-CONS,Construction,Konstruksi
G-WRTM,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor"
H-TRSG,Transportation and Storage,Transportasi dan Pergudangan
I-AFSA,Accommodation and Food Services Activities,Penyediaan Akomodasi dan Makan Minum
J-INFO,Information and Communication,Informasi dan Komunikasi
K-FISA,Financial and Insurance Activities,Jasa Keuangan dan Asuransi
L-RESA,Real Estate Activities,Real Estate
M-BSSA,Business Activities,Jasa Perusahaan
O-PADC,Public Administration and Defence; Compulsory Social Security,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"
P-EDUC,Education,Jasa Pendidikan
Q-HHSA,Human Health and Social Work Activities,Jasa Kesehatan dan Kegiatan Sosial
R-OSEA,Other Services Activities,Jasa Lainnya
T-GDRP,Gross Domestic Regional Product,Produk Domestik Regional Bruto
